Asignacion,Fecha base,Fiesta,Año,Fecha
Al lunes siguiente,15 de agosto,Asunción de la Virgen,2014,2014-08-18
Al lunes siguiente,12 de octubre,Día de la Raza,2014,2014-10-13
Al lunes siguiente,1 de noviembre,Todos los Santos,2014,2014-11-03
Al lunes siguiente,11 de noviembre,Independencia de Cartagena,2014,2014-11-17
No se mueve,8 de diciembre,Inmaculada Concepción,2014,2014-12-08
No se mueve,25 de diciembre,Navidad,2014,2014-12-25
No se mueve,1 de enero,Año Nuevo,2015,2015-01-01
Al lunes siguiente,6 de enero,Epifanía (Reyes Magos),2015,2015-01-12
Al lunes siguiente,19 de marzo,San José,2015,2015-03-23
Con respecto a la Pascua,Pascua,Domingo de Ramos,2015,2015-03-29
Con respecto a la Pascua,Pascua,Jueves Santo,2015,2015-04-02
Con respecto a la Pascua,Pascua,Viernes Santo,2015,2015-04-03
Con respecto a la Pascua,Pascua,Domingo de Pascua,2015,2015-04-05
No se mueve,1 de mayo,Día del Trabajo,2015,2015-05-01
Con respecto a la Pascua,Pascua,Ascensión de Jesús,2015,2015-05-18
Con respecto a la Pascua,Pascua,Corpus Christi,2015,2015-06-08
Con respecto a la Pascua,Pascua,Sagrado Corazón de Jesús,2015,2015-06-15
Al lunes siguiente,29 de junio,San Pedro y San Pablo,2015,2015-06-29
No se mueve,20 de julio,Día de la Independencia,2015,2015-07-20
No se mueve,7 de agosto,Batalla de Boyacá,2015,2015-08-07
Al lunes siguiente,15 de agosto,Asunción de la Virgen,2015,2015-08-17
Al lunes siguiente,12 de octubre,Día de la Raza,2015,2015-10-12
Al lunes siguiente,1 de noviembre,Todos los Santos,2015,2015-11-02
Al lunes siguiente,11 de noviembre,Independencia de Cartagena,2015,2015-11-16
No se mueve,8 de diciembre,Inmaculada Concepción,2015,2015-12-08
No se mueve,25 de diciembre,Navidad,2015,2015-12-25
No se mueve,1 de enero,Año Nuevo,2016,2016-01-01
Al lunes siguiente,6 de enero,Epifanía (Reyes Magos),2016,2016-01-11
Al lunes siguiente,19 de marzo,San José,2016,2016-03-21
Con respecto a la Pascua,Pascua,Domingo de Ramos,2016,2016-03-20
Con respecto a la Pascua,Pascua,Jueves Santo,2016,2016-03-24
Con respecto a la Pascua,Pascua,Viernes Santo,2016,2016-03-25
Con respecto a la Pascua,Pascua,Domingo de Pascua,2016,2016-03-27
No se mueve,1 de mayo,Día del Trabajo,2016,2016-05-01
Con respecto a la Pascua,Pascua,Ascensión de Jesús,2016,2016-05-09
Con respecto a la Pascua,Pascua,Corpus Christi,2016,2016-05-30
Con respecto a la Pascua,Pascua,Sagrado Corazón de Jesús,2016,2016-06-06
Al lunes siguiente,29 de junio,San Pedro y San Pablo,2016,2016-07-04
No se mueve,20 de julio,Día de la Independencia,2016,2016-07-20
No se mueve,7 de agosto,Batalla de Boyacá,2016,2016-08-07
Al lunes siguiente,15 de agosto,Asunción de la Virgen,2016,2016-08-15
Al lunes siguiente,12 de octubre,Día de la Raza,2016,2016-10-17
Al lunes siguiente,1 de noviembre,Todos los Santos,2016,2016-11-07
Al lunes siguiente,11 de noviembre,Independencia de Cartagena,2016,2016-11-14
No se mueve,8 de diciembre,Inmaculada Concepción,2016,2016-12-08
No se mueve,25 de diciembre,Navidad,2016,2016-12-25
No se mueve,1 de enero,Año Nuevo,2017,2017-01-01
Al lunes siguiente,6 de enero,Epifanía (Reyes Magos),2017,2017-01-09
Al lunes siguiente,19 de marzo,San José,2017,2017-03-20
Con respecto a la Pascua,Pascua,Domingo de Ramos,2017,2017-04-09
Con respecto a la Pascua,Pascua,Jueves Santo,2017,2017-04-13
Con respecto a la Pascua,Pascua,Viernes Santo,2017,2017-04-14
Con respecto a la Pascua,Pascua,Domingo de Pascua,2017,2017-04-16
No se mueve,1 de mayo,Día del Trabajo,2017,2017-05-01
Con respecto a la Pascua,Pascua,Ascensión de Jesús,2017,2017-05-29
Con respecto a la Pascua,Pascua,Corpus Christi,2017,2017-06-19
Con respecto a la Pascua,Pascua,Sagrado Corazón de Jesús,2017,2017-06-26
Al lunes siguiente,29 de junio,San Pedro y San Pablo,2017,2017-07-03
No se mueve,20 de julio,Día de la Independencia,2017,2017-07-20
No se mueve,7 de agosto,Batalla de Boyacá,2017,2017-08-07
Al lunes siguiente,15 de agosto,Asunción de la Virgen,2017,2017-08-21
Al lunes siguiente,12 de octubre,Día de la Raza,2017,2017-10-16
Al lunes siguiente,1 de noviembre,Todos los Santos,2017,2017-11-06
Al lunes siguiente,11 de noviembre,Independencia de Cartagena,2017,2017-11-13
No se mueve,8 de diciembre,Inmaculada Concepción,2017,2017-12-08
No se mueve,25 de diciembre,Navidad,2017,2017-12-25
No se mueve,1 de enero,Año Nuevo,2018,2018-01-01
Al lunes siguiente,6 de enero,Epifanía (Reyes Magos),2018,2018-01-08
Al lunes siguiente,19 de marzo,San José,2018,2018-03-19
Con respecto a la Pascua,Pascua,Domingo de Ramos,2018,2018-03-25
Con respecto a la Pascua,Pascua,Jueves Santo,2018,2018-03-29
Con respecto a la Pascua,Pascua,Viernes Santo,2018,2018-03-30
Con respecto a la Pascua,Pascua,Domingo de Pascua,2018,2018-04-01
No se mueve,1 de mayo,Día del Trabajo,2018,2018-05-01
Con respecto a la Pascua,Pascua,Ascensión de Jesús,2018,2018-05-14
Con respecto a la Pascua,Pascua,Corpus Christi,2018,2018-06-04
Con respecto a la Pascua,Pascua,Sagrado Corazón de Jesús,2018,2018-06-11
Al lunes siguiente,29 de junio,San Pedro y San Pablo,2018,2018-07-02
No se mueve,20 de julio,Día de la Independencia,2018,2018-07-20
No se mueve,7 de agosto,Batalla de Boyacá,2018,2018-08-07
Al lunes siguiente,15 de agosto,Asunción de la Virgen,2018,2018-08-20
Al lunes siguiente,12 de octubre,Día de la Raza,2018,2018-10-15
Al lunes siguiente,1 de noviembre,Todos los Santos,2018,2018-11-05
Al lunes siguiente,11 de noviembre,Independencia de Cartagena,2018,2018-11-12
No se mueve,8 de diciembre,Inmaculada Concepción,2018,2018-12-08
No se mueve,25 de diciembre,Navidad,2018,2018-12-25
